A Thousand Furs [Special] - Touched by the Gods, p. 71
Acrobatic [General] - Song and Silence, p. 38
Acrobatic (Legends & Lairs version) [General] - Traps & Treachery, p. 34
Airy Gallop [Special] - Dragon Magazine d20 Special/Annual #6, p. 65
Alertness [General] - Player's Handbook, p. 80
Alluring [General] - Song and Silence, p. 38
Ambidexterity [General] - Player's Handbook, p. 80
Ancient Lineage [General] - The Taan, p. 81
Arcane Defense [General] - Tome and Blood, p. 38
Arcane Preparation [General] - Tome and Blood, p. 38
Arcane Schooling [General] - Forgotten Realms Campaign Setting, p. 33
Armor Proficiency (Heavy) [General] - Player's Handbook, p.80
Armor Proficiency (Light) [General] - Player's Handbook, p. 80
Armor Proficiency (Medium) [General] - Player's Handbook, p. 80
Art of Fascination [Ancestor] - Oriental Adventures, p. 60
Arterial Strike [General] - Song and Silence, p. 38
Artist [General] - Forgotten Realms Campaign Setting, p. 33
Artist [Ancestor] - Oriental Adventures, p. 61
Athletic [General] - Song and Silence, p. 38
Attention to Detail [Ancestor] - Oriental Adventures, p. 61
Attune Gem [Item Creation] - Magic of Faerun, p. 21
Augment Construct [Psionic] - Dragon Magazine #287, p. 54
Augment Summoning [General] - Tome and Blood, p. 39
Aura of Serenity [Mystic Warrior] - Mystic Warriors, p. 112
Battle Howl [General] - Touched by the Gods, p. 109
Battle Roar [Kaiju] - Dragon Magazine #289, p. 70
Blind Casting [General] - Dungeons, p. 81
Blind-Fight [General] - Player's Handbook, p. 80
Blindsight, 5-foot Radius [General] - Sword and Fist, p. 5
Blood Frenzy [General] - The Taan, p. 81
Blood Sorcerer [Ancestor] - Oriental Adventures, p. 61
Blooded [General] - Forgotten Realms Campaign Setting, p. 33
Bloodline of Fire [General] - Forgotten Realms Campaign Setting, p. 34
Body Fuel [Psionic] - Psionics Handbook, p. 24
Bootlicker [General] - Evil, p. 58
Born Duelist [Ancestor] - Oriental Adventures, p. 61
Breeze Dance [Fighting Stance] - Mystic Warriors, p. 112
Brew Poison [Item Creation] - Traps & Treachery, p. 45
Brew Potion [Item Creation] - Player's Handbook, p. 80
Bribery [General] - Evil, p. 58
Bullheaded [General] - Forgotten Realms Campaign Setting, p. 34
Cabalistic Spellcasting [Metamagic] - Sovereign Stone Campaign Sourcebook, p. 60
Casing Sense [General] - Traps & Treachery, p. 34
Chain Power [Metapsionic] - Dragon Magazine #287, p. 54
Chain Spell [Metamagic] - Tome and Blood, p. 39
Chain Spell (Scarred Lands version) [Metamagic] - Relics and Rituals, p. 25
Change Instruction [Special] - Demonology, p. 41
Chariot Archery [General] - Sword and Fist, p. 78
Chariot Charge [General] - Sword and Fist, p. 79
Chariot Combat [General] - Sword and Fist, p. 78
Chariot Sideswipe [General] - Sword and Fist, p. 79
Chariot Trample [General] - Sword and Fist, p. 78
Charlatan [General] - Song and Silence, p. 38
Chink in the Armor [General] - Song and Silence, p. 38
Choke Hold [General] - Oriental Adventures, p. 61
